Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return,Year,Env_Var,Soc_Var,ESG_Var,Return_Var,Cluster_KMeans_Var
2023-12-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.0590136978235806,2023,-0.035010940919037226,-0.21479713603818618,-0.07722772277227719,-1.5167754498104218,0
2023-12-31,NVDA US Equity,6.95,6.4,6.66,NVIDIA,NVDA,0.0589344113112595,2023,0.07751937984496116,0.01748807631160587,0.03095975232198156,-1.4319390365958047,0
2023-12-31,2383 TT Equity,3.42,4.46,4.19,Elite Material,2383.TW,0.0052631084114467,2023,-0.031161473087818692,0.18617021276595747,0.014527845036319764,-1.0514165798544826,0
2023-12-31,9984 JP Equity,3.85,1.99,3.43,SoftBank,9984.T,0.0453488188453832,2023,0.01049868766404205,0.0,0.0029239766081872176,-1.8763500747800337,0
2023-12-31,MU US Equity,3.98,6.06,5.63,Micron Technology,MU,0.122625420578099,2023,-0.19105691056910568,0.05759162303664911,-0.05536912751677858,-1.9355621318371916,0
2023-12-31,CLS CN Equity,5.58,6.22,6.12,Celestica,CLS,0.0860534748129511,2023,0.125,-0.01426307448494446,0.003278688524590345,7.730467610247972,0
2023-12-31,FN US Equity,3.3,0.73,2.51,Fabrinet,FN,0.1756022792239751,2023,-0.032258064516129115,-0.013513513513513487,-0.027131782945736593,-5.513890114471241,0
2023-12-31,META US Equity,7.31,2.03,4.23,Meta Platforms,META,0.0819500815729334,2023,-0.016150740242261152,0.09139784946236551,0.011961722488038395,3.320665816566885,0
2023-12-31,MSFT US Equity,5.62,3.03,5.12,Microsoft,MSFT,-0.0075743927439895,2023,-0.07868852459016384,-0.3002309468822172,-0.12776831345826234,-0.8738559328986008,0
2023-12-31,TSM US Equity,4.57,6.31,5.48,TSMC,TSM,0.0737860879983529,2023,0.060324825986079134,0.3010309278350516,0.13692946058091282,-1.7589145114060751,1
2023-12-31,6857 JP Equity,7.14,6.56,6.9,Advantest,6857.T,0.0247809466241943,2023,0.04233576642335768,-0.012048192771084376,0.017699115044247815,-1.348076956595227,0
2023-12-31,TSEM IT Equity,2.98,3.26,3.99,Tower Semiconductor,TSEM,0.1146823007027861,2023,0.4974874371859297,0.42358078602620086,0.24687499999999996,-4.73094459299538,1
2023-12-31,ENR GR Equity,3.82,2.72,4.03,Siemens Energy,ENR.DE,0.1029411648693383,2023,-0.11981566820276501,0.0,-0.021844660194174748,-0.07790394152775426,0
2023-12-31,LRCX US Equity,5.16,2.99,5.08,Lam Research,LRCX,0.0970434709102052,2023,-0.011494252873563093,-0.05974842767295596,-0.0323809523809524,-1.9075224036084353,0
2023-12-31,TSLA US Equity,4.78,4.89,5.09,Tesla,TSLA,0.0349883115312348,2023,0.03463203463203457,0.04935622317596566,0.011928429423459175,-1.0952492235472717,0
2023-12-31,LITE US Equity,1.0,3.98,3.73,Lumentum,LITE,0.2247663341908381,2023,0.0,-0.061320754716981174,-0.07901234567901227,-5.458000018434878,0
2023-12-31,AVGO US Equity,4.96,2.57,4.82,Broadcom,AVGO,0.2113497495838392,2023,0.008130081300812941,0.13215859030836996,0.03879310344827602,8.123230774844817,0
2023-12-31,GOOGL US Equity,5.21,2.56,4.26,Alphabet (Google),GOOGL,0.054025513804365,2023,-0.04051565377532229,0.007874015748031482,-0.020689655172413723,-1.4275892423596759,0
2023-12-31,AMD US Equity,7.17,5.58,6.85,AMD,AMD,0.2166556553861283,2023,0.002797202797202747,0.17226890756302526,0.05384615384615388,-2.3078520322171916,0
2024-12-31,AVGO US Equity,4.96,2.57,4.82,Broadcom,AVGO,0.4342373175497167,2024,0.0,0.0,0.0,1.0545911145140079,0
2024-12-31,TSEM IT Equity,2.98,3.26,3.99,Tower Semiconductor,TSEM,0.0929343762816325,2024,0.0,0.0,0.0,-0.18963627593691323,0
2024-12-31,LITE US Equity,1.0,3.98,3.73,Lumentum,LITE,-0.0347246663225528,2024,0.0,0.0,0.0,-1.1544922928407497,0
2024-12-31,TSLA US Equity,4.62,5.05,5.01,Tesla,TSLA,0.1700080891563131,2024,-0.03347280334728031,0.0327198364008181,-0.015717092337917515,3.8589966682028454,0
2024-12-31,META US Equity,7.31,2.03,4.23,Meta Platforms,META,0.0203061694927118,2024,0.0,0.0,0.0,-0.7522129435021996,0
2024-12-31,LRCX US Equity,5.21,2.68,4.96,Lam Research,LRCX,-0.019331207477882,2024,0.009689922480620172,-0.10367892976588633,-0.023622047244094557,-1.1992015258375215,0
2024-12-31,AMD US Equity,7.17,5.58,6.85,AMD,AMD,-0.1194780043398231,2024,0.0,0.0,0.0,-1.5514649692706468,0
2024-12-31,NVDA US Equity,7.13,6.54,6.81,NVIDIA,NVDA,-0.0285768827649802,2024,0.025899280575539585,0.021874999999999867,0.022522522522522515,-1.4848929874611396,0
2024-12-31,TSM US Equity,4.57,6.31,5.48,TSMC,TSM,0.0728752132937886,2024,0.0,0.0,0.0,-0.01234480278429495,0
2024-12-31,ENR GR Equity,3.82,2.72,4.03,Siemens Energy,ENR.DE,-0.0184241203111542,2024,0.0,0.0,0.0,-1.178977188907272,0
2024-12-31,2383 TT Equity,4.41,3.46,4.19,Elite Material,2383.TW,0.3191035073696258,2024,0.2894736842105263,-0.22421524663677128,0.0,59.63023643510927,0
2024-12-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.0875547598013712,2024,0.0,0.0,0.0,0.48363452944625007,0
2024-12-31,MPWR US Equity,4.95,2.49,4.49,Monolithic Power Systems,MPWR,0.044548936221991,2024,0.0,0.0,0.0,-0.7056694170314008,0
2024-12-31,9984 JP Equity,6.61,1.99,3.92,SoftBank,9984.T,0.0278648287011904,2024,0.7168831168831169,0.0,0.1428571428571428,-0.3855445541769118,0
2024-12-31,6857 JP Equity,7.28,6.52,7.07,Advantest,6857.T,0.1162622429819288,2024,0.019607843137255054,-0.0060975609756097615,0.02463768115942022,3.6915981356587437,0
2024-12-31,CLS CN Equity,5.58,6.22,6.12,Celestica,CLS,0.0828250277442705,2024,0.0,0.0,0.0,-0.03751675427050527,0
2024-12-31,FN US Equity,4.2,0.88,2.8,Fabrinet,FN,-0.0626651753495559,2024,0.27272727272727293,0.20547945205479445,0.11553784860557781,-1.3568585534680246,0
2024-12-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,0.0553177162622697,2024,0.0,0.0,0.0,0.3814284674538859,0
2024-12-31,MU US Equity,3.98,6.06,5.63,Micron Technology,MU,-0.1396698315433043,2024,0.0,0.0,0.0,-2.138995739095956,0
2024-12-31,MSFT US Equity,5.62,3.03,5.12,Microsoft,MSFT,-0.0046285382944661,2024,0.0,0.0,0.0,-0.38892285482041067,0
2024-12-31,CRDO US Equity,1.0,1.37,2.15,CREDO Technology,CRDO,0.3727532749441546,2024,0.0,0.014814814814814836,0.014150943396226356,3.2794957582496673,0
2024-12-31,GOOGL US Equity,5.21,2.56,4.26,Alphabet (Google),GOOGL,0.1217340084669467,2024,0.0,0.0,0.0,1.2532688704778439,0
2025-12-31,FN US Equity,4.2,0.88,2.8,Fabrinet,FN,-0.0089898018107809,2025,0.0,0.0,0.0,-0.856542301834561,0
2025-12-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,-0.0102906864073514,2025,0.0,0.0,0.0,-1.1860287644298562,0
2025-12-31,MPWR US Equity,4.95,2.49,4.49,Monolithic Power Systems,MPWR,-0.0218462519415129,2025,0.0,0.0,0.0,-1.4903877352458257,0
2025-12-31,CLS CN Equity,5.58,6.22,6.12,Celestica,CLS,-0.1416916401720525,2025,0.0,0.0,0.0,-2.7107345935281515,0
2025-12-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,000660.KS,0.2283018867924529,2025,0.0,0.0,0.0,1.6075325580286433,0
2025-12-31,MSFT US Equity,5.62,3.03,5.12,Microsoft,MSFT,-0.0170525283671244,2025,0.0,0.0,0.0,2.6842146012948573,0
2025-12-31,LRCX US Equity,5.21,2.68,4.96,Lam Research,LRCX,0.0991141994189763,2025,0.0,0.0,0.0,-6.127160294170906,0
2025-12-31,CRDO US Equity,1.0,1.37,2.15,CREDO Technology,CRDO,-0.1898085898387809,2025,0.0,0.0,0.0,-1.5092070347798225,0
2025-12-31,AMD US Equity,7.17,5.58,6.85,AMD,AMD,-0.0154920936702925,2025,0.0,0.0,0.0,-0.870335182145917,0
2025-12-31,MU US Equity,3.98,6.06,5.63,Micron Technology,MU,0.207397253818901,2025,0.0,0.0,0.0,-2.484910889683417,0
2025-12-31,AVGO US Equity,4.96,2.57,4.82,Broadcom,AVGO,-0.1394624180617357,2025,0.0,0.0,0.0,-1.3211663586369875,0
2025-12-31,NVDA US Equity,7.13,6.54,6.81,NVIDIA,NVDA,0.0537309989476884,2025,0.0,0.0,0.0,-2.8802260340842194,0
