Yahoo_Ticker,Year,Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Return,Env_Var,Soc_Var,ESG_Var,Return_Var,Cluster_KMeans_Var
AMD,2024,2024-12-31,AMD US Equity,7.17,5.58,6.85,AMD,-0.180584777730553,0.002797202797202747,0.17226890756302526,0.05384615384615388,-1.1415352668677965,0
CLS,2024,2024-12-31,CLS CN Equity,5.58,6.22,6.12,Celestica,2.152322434673148,0.125,-0.01426307448494446,0.003278688524590345,0.3468447815520874,0
NVDA,2024,2024-12-31,NVDA US Equity,7.13,6.54,6.81,NVIDIA,1.7124928909543495,0.025899280575539585,0.021874999999999867,0.022522522522522515,-0.2835272652231069,0
LRCX,2024,2024-12-31,LRCX US Equity,5.16,2.99,5.08,Lam Research,-0.068447642445923,0.0,0.0,0.0,-1.0772293426496797,0
9984.T,2024,2024-12-31,9984 JP Equity,6.61,1.99,3.92,SoftBank,0.46674445512605,0.7168831168831169,0.0,0.1428571428571428,2.7766583374782514,0
LITE,2024,2024-12-31,LITE US Equity,1.0,3.98,3.73,Lumentum,0.6014879794096577,0.0,-0.061320754716981174,-0.07901234567901227,124.51850713778093,0
TSEM,2024,2024-12-31,TSEM IT Equity,2.98,3.26,3.99,Tower Semiconductor,0.6877456601882226,0.0,0.0,0.0,-3.343108227900602,0
AMZN,2024,2024-12-31,AMZN US Equity,4.24,2.99,4.36,Amazon,0.4439252064264869,-0.025287356321838983,0.01013513513513531,0.0092592592592593,-0.45113753311997873,0
000660.KS,2024,2024-12-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,0.2346209331651954,-0.035010940919037226,-0.21479713603818618,-0.07722772277227719,-0.7413576349161748,0
TSM,2024,2024-12-31,TSM US Equity,4.57,6.31,5.48,TSMC,0.9258244368259758,0.060324825986079134,0.3010309278350516,0.13692946058091282,1.187172859814206,0
META,2024,2024-12-31,META US Equity,7.31,2.03,4.23,Meta Platforms,0.6604890579637983,0.0,0.0,0.0,-0.6597755433417801,0
GOOGL,2024,2024-12-31,GOOGL US Equity,5.21,2.56,4.26,Alphabet (Google),0.3600561386702636,-0.04051565377532229,0.007874015748031482,-0.020689655172413723,-0.3826709154742236,0
MU,2024,2024-12-31,MU US Equity,3.98,6.06,5.63,Micron Technology,-0.0096142751200467,-0.19105691056910568,0.05759162303664911,-0.05536912751677858,-1.0133659328569178,0
6857.T,2024,2024-12-31,6857 JP Equity,7.28,6.52,7.07,Advantest,0.927842160716515,0.019607843137255054,-0.0060975609756097615,0.02463768115942022,-0.27804319465234506,0
AVGO,2024,2024-12-31,AVGO US Equity,4.96,2.57,4.82,Broadcom,1.1049289936940752,0.008130081300812941,0.13215859030836996,0.03879310344827602,0.06055254335169313,0
MPWR,2024,2024-12-31,MPWR US Equity,4.95,2.49,4.49,Monolithic Power Systems,-0.0555115791277067,0.0,0.0,0.0,-1.0695843307398192,0
TSLA,2024,2024-12-31,TSLA US Equity,4.78,4.89,5.09,Tesla,0.6252414813331912,0.03463203463203457,0.04935622317596566,0.011928429423459175,-0.38533720131576976,0
